================================================================================
Mask Color Analysis Report
================================================================================

For each mask file, unique non-zero pixel values are listed.
Columns: val=pixel_value, pixels=total_pixel_count, cc=connected_components,
        max=area_of_largest_CC, conc=max/total (1.0 means one big blob)

Visualizations saved to: visualizations/analysis/
Filename pattern: {mask_name}_val{value}.png

------------------------------------------------------------
Mask: Below_Eye_Wrinkles.jpg  (Category: Below_Eye_Wrinkles)
------------------------------------------------------------
    val     pixels     cc   max_area   conc
    149      16741     94        622  0.037
    115      14069      2       7073  0.503
      4        702    674          2  0.003
      2        529    506          2  0.004
      8        469    469          1  0.002
     26        434    255         35  0.081
      5        425    425          1  0.002
    104        413    374          3  0.007
     23        404    197         37  0.092
    109        380    379          2  0.005
    107        344    344          1  0.003
      6        339    339          1  0.003
     39        328    328          1  0.003
    105        314    314          1  0.003
    106        313    313          1  0.003
     15        312    310          2  0.006
    108        307    307          1  0.003
      7        302    302          1  0.003
      9        278    277          2  0.007
     20        270    270          1  0.004
     96        268    267          2  0.007
     18        261    260          2  0.008
    101        235    235          1  0.004
    102        232    232          1  0.004
     64        223    223          1  0.004
     13        212    211          2  0.009
     11        210    208          2  0.010
     71        194    194          1  0.005
     25        192    192          1  0.005
     98        181    181          1  0.006
    103        181    181          1  0.006
     32        178    178          1  0.006
     42        176    176          1  0.006
     79        176    176          1  0.006
    100        174    174          1  0.006
    110        170    163          2  0.012
     74        169    169          1  0.006
     34        168    168          1  0.006
     48        168    168          1  0.006
     94        161    161          1  0.006
     52        159    159          1  0.006
     57        156    156          1  0.006
     82        156    156          1  0.006
     68        152    152          1  0.007
     22        143    143          1  0.007
     90        143    143          1  0.007
     17        141    141          1  0.007
     91        141    101          7  0.050
     84        139    139          1  0.007
     10        138    138          1  0.007
     80        137    137          1  0.007
     85        134    134          1  0.007
     16        132    132          1  0.008
     30        131    131          1  0.008
     51        131    130          2  0.015
     81        131    131          1  0.008
     45        127    127          1  0.008
     60        127    127          1  0.008
     89        125    125          1  0.008
     87        122    122          1  0.008
     92        121    121          1  0.008
     93        118    118          1  0.008
     14        117    117          1  0.009
     72        112    112          1  0.009
     28        111    111          1  0.009
     49        111    111          1  0.009
     95        111    111          1  0.009
     29        109    109          1  0.009
     62        105    105          1  0.010
     36        104    104          1  0.010
     54        101    101          1  0.010
     41         97     97          1  0.010
     35         88     88          1  0.011
     12         86     86          1  0.012
     59         83     83          1  0.012
     50         78     76          2  0.026
     76         77     77          1  0.013
     46         70     70          1  0.014
     37         68     68          1  0.015
     83         68     68          1  0.015
     38         67     67          1  0.015
     56         66     66          1  0.015
     73         63     63          1  0.016
     31         62     62          1  0.016
     61         62     62          1  0.016
     63         61     61          1  0.016
    111         59     58          2  0.034
     43         55     55          1  0.018
     55         54     54          1  0.019
     99         52     52          1  0.019
     69         51     51          1  0.020
     40         49     49          1  0.020
     65         48     48          1  0.021
     66         48     48          1  0.021
     58         46     46          1  0.022
     67         46     46          1  0.022
     47         44     44          1  0.023
     44         43     43          1  0.023
     24         41     41          1  0.024
     97         40     40          1  0.025
     27         37     37          1  0.027
     86         34     34          1  0.029
     77         32     32          1  0.031
     88         28     28          1  0.036
    112         27     27          1  0.037
     75         23     23          1  0.043
     21         20     20          1  0.050
     33         20     20          1  0.050
     78         19     19          1  0.053
     70         18     18          1  0.056
     19         14     14          1  0.071
     53         14     14          1  0.071
    117          9      9          1  0.111
    146          9      9          1  0.111
    140          8      7          2  0.250
    118          7      7          1  0.143
    120          7      7          1  0.143
    128          7      7          1  0.143
    113          6      6          1  0.167
    148          6      4          3  0.500
    126          3      3          1  0.333
    129          3      3          1  0.333
    139          3      3          1  0.333
    142          3      3          1  0.333
    145          3      3          1  0.333
    122          2      2          1  0.500
    123          2      2          1  0.500
    134          2      2          1  0.500
    143          2      2          1  0.500
    147          2      2          1  0.500
    116          1      1          1  1.000
    121          1      1          1  1.000
    124          1      1          1  1.000
    135          1      1          1  1.000
    137          1      1          1  1.000
    138          1      1          1  1.000
    141          1      1          1  1.000

------------------------------------------------------------
Mask: Between_Wrinkles.jpg  (Category: Between_Wrinkles)
------------------------------------------------------------
    val     pixels     cc   max_area   conc
    115       3758      1       3758  1.000
    225       3718      6       1056  0.284
      2        206    178          6  0.029
    104        203    131          9  0.044
     26        179     79         80  0.447
      4        178    147          5  0.028
     23        160     59         82  0.512
      5        144    140          2  0.014
     96        128    122          2  0.016
      7        111    105          2  0.018
     39        110    104          2  0.018
    108        110    106          2  0.018
      9        105     99          3  0.029
     15        102     96          2  0.020
      8         96     90          3  0.031
    100         94     88          3  0.032
     68         93     85          3  0.032
     57         91     85          2  0.022
     18         88     84          2  0.023
      6         84     78          3  0.036
     74         84     80          3  0.036
     84         84     80          3  0.036
    101         84     78          2  0.024
     20         82     74          3  0.037
     32         82     78          2  0.024
    103         80     74          2  0.025
     42         79     73          3  0.038
     48         75     69          3  0.040
     87         73     67          2  0.027
     79         69     62          3  0.043
     52         68     62          3  0.044
     98         68     62          3  0.044
     64         65     61          2  0.031
     90         64     56          3  0.047
    102         64     58          3  0.047
     13         58     52          3  0.052
     16         58     52          3  0.052
     29         57     49          3  0.053
    105         57     57          1  0.018
     11         56     50          2  0.036
     81         56     49          3  0.054
     92         55     51          2  0.036
    107         54     54          1  0.019
    106         52     51          2  0.038
     71         51     45          2  0.039
    109         51     51          1  0.020
     94         50     44          3  0.060
     35         49     43          3  0.061
     60         49     43          3  0.061
     45         44     38          2  0.045
     14         39     39          1  0.026
     49         38     38          1  0.026
     25         37     37          1  0.027
     54         31     31          1  0.032
     61         30     30          1  0.033
     72         30     30          1  0.033
     10         27     27          1  0.037
     93         27     27          1  0.037
     36         25     25          1  0.040
     89         24     24          1  0.042
     91         24      6         11  0.458
     51         23     23          1  0.043
     83         23     23          1  0.043
     95         22     22          1  0.045
    110         21     20          2  0.095
     34         19     19          1  0.053
     82         18     18          1  0.056
     50         16     16          1  0.062
     76         16     16          1  0.062
     85         16     16          1  0.062
     17         15     15          1  0.067
     28         15     15          1  0.067
     46         15     15          1  0.067
     12         14     14          1  0.071
     22         14     14          1  0.071
     41         14     14          1  0.071
     55         14     14          1  0.071
     80         14     14          1  0.071
     86         14     14          1  0.071
     47         13     13          1  0.077
     67         13     13          1  0.077
     73         13     13          1  0.077
     62         12     12          1  0.083
     66         12     12          1  0.083
     24         11     11          1  0.091
     30         10     10          1  0.100
     43         10     10          1  0.100
     69          9      9          1  0.111
     99          9      9          1  0.111
     58          8      8          1  0.125
     19          7      7          1  0.143
     27          7      7          1  0.143
     53          7      7          1  0.143
     56          7      7          1  0.143
     44          6      6          1  0.167
     88          6      6          1  0.167
     31          5      5          1  0.200
     40          5      5          1  0.200
     21          4      4          1  0.250
     59          4      4          1  0.250
     63          4      4          1  0.250
    113          4      4          1  0.250
     37          3      3          1  0.333
     65          3      3          1  0.333
     70          3      3          1  0.333
     97          3      3          1  0.333
     75          2      2          1  0.500
     38          1      1          1  1.000
     77          1      1          1  1.000
     78          1      1          1  1.000
    111          1      1          1  1.000

------------------------------------------------------------
Mask: Fish_tail_Wrinkles.jpg  (Category: Fish_tail_Wrinkles)
------------------------------------------------------------
    val     pixels     cc   max_area   conc
    115      14069      2       7073  0.503
    149       8057     45        803  0.100
      4        704    676          2  0.003
      2        533    509          2  0.004
      8        474    474          1  0.002
     26        435    256         35  0.080
      5        426    426          1  0.002
    104        417    378          3  0.007
     23        404    197         37  0.092
    109        381    380          2  0.005
    107        351    351          1  0.003
      6        339    339          1  0.003
     39        328    328          1  0.003
    105        314    314          1  0.003
    106        313    313          1  0.003
     15        312    310          2  0.006
    108        312    312          1  0.003
      7        303    303          1  0.003
      9        279    278          2  0.007
     20        272    272          1  0.004
     96        269    268          2  0.007
     18        261    260          2  0.008
    101        242    242          1  0.004
    102        232    232          1  0.004
     64        223    223          1  0.004
